BR.1, "Need for scalable tools that autonomously create an accurate database of all infrastructure components, including points of inter- dependency with other infrastructure components", GC, M, InProgress
BR.2 , "Promote living community risk models utilizing local inventory data from various sources", GC , M , InProgress
BR.3 , "Developing and sharing standardized definitions, measurement protocols and strategies for data collection", GC , M ,  ""
BR.4, "Developing tools that utilize GIS information and online images, e.g. google maps, for data collection for gathering Building Information", GC, M, ""
BR.4.1, " Develop Framework for creating asset inventories", SP, M,`Implemented <https://nheri-simcenter.github.io/BRAILS-Documentation/common/user_manual/workflow.html>`_
BR.4.2 , "Create workflow application for building inventory from framework modules", SP , M ,`Implemented <https://nheri-simcenter.github.io/BRAILS-Documentation/common/user_manual/workflow.html>`_
BR.4.2 , "Create workflow application for transportation network from framework modules", SP , M , InProgress
BR.5, "Developing Modules for Asset Inventory Workflows identified in BR4", "", "", ""
BR.5.1 , "Predicting if building is a soft-story building for earthquake simulations", UF , M ,`Implemented <https://nheri-simcenter.github.io/BRAILS-Documentation/common/user_manual/modules/softstoryClassifier.html>`_
BR.5.2 , "Predicting First Floor Height", SP , M , `Implemented <https://github.com/NHERI-SimCenter/BRAILS/tree/master/brails/modules/FacadeParser>`_
BR.5.3 , "Predicting Roof Height", SP , M , `Implemented <https://github.com/NHERI-SimCenter/BRAILS/tree/master/brails/modules/FacadeParser>`_
BR.5.4 , "Predicting Eave Height", SP , M, `Implemented <https://github.com/NHERI-SimCenter/BRAILS/tree/master/brails/modules/FacadeParser>`_
BR.5.5 , "Predicting Eave Length", SP , D, `Implemented <https://github.com/NHERI-SimCenter/BRAILS/tree/master/brails/modules/FacadeParser>`_
BR.5.6 , "Predicting Roof Shape", SP , M , `Implemented <https://nheri-simcenter.github.io/BRAILS-Documentation/common/user_manual/modules/roofClassifier.html>`_
BR.5.7 , "Predicting Roof Pitch", SP , M , `Implemented <https://github.com/NHERI-SimCenter/BRAILS/tree/master/brails/modules/FacadeParser>`_
BR.5.8 , "Predicting Roof Cover Material", SP , M , `Implemented <https://github.com/NHERI-SimCenter/BRAILS/tree/master/brails/modules/RoofCoverClassifier>`_
BR.5.9 , "Predicting Window Area", SP , M , `Implemented <https://github.com/NHERI-SimCenter/BRAILS/tree/master/brails/modules/FacadeParser>`_
BR.5.10 , "Predicting Number of Floors", SP , M , `Implemented <https://nheri-simcenter.github.io/BRAILS-Documentation/common/user_manual/modules/nFloorDetector.html>`_
BR.5.11 , "Classifying Elevated Building", SP , M , `Implemented <https://nheri-simcenter.github.io/BRAILS-Documentation/common/user_manual/modules/foundationElevationClassifier.html>`_
BR.5.12 , "Predicting Occupancy Type", SP , M , `Implemented <https://nheri-simcenter.github.io/BRAILS-Documentation/common/user_manual/modules/occupancyClassifier.html>`_
BR.5.13 , "Predicting Year Built", SP , M , `Implemented <https://nheri-simcenter.github.io/BRAILS-Documentation/common/user_manual/modules/yearClassifier.html>`_
BR.5.14 , "Predicting Attached Garage", SP , M , `Implemented <https://github.com/NHERI-SimCenter/BRAILS/tree/master/brails/modules/GarageDetector>`_
BR.5.15 , "Predicting Presence of Masonry Chimney", UF , D , `Implemented <https://github.com/NHERI-SimCenter/BRAILS/tree/master/brails/modules/ChimneyDetector/>`_
BR.5.16 , "Predicting Building Material", SP , M , ""
BR.5.17 , "Predicting Structural Type", SP , M , ""
BR.6, "DesignSafe integration to provide access to GPU", "", "", ""
BR.6.1, "Create JupyterHub notebook at DesignSafe for building asset inventory workflow usage", SP, M, InProgress
BR.6.2, "For classification done at DesignSafe, store images and meta data for BE Database", SP, M, ""
BR.6.3, "Create JupyterHub notebook at DesignSafe for individual modules to demonstrate immediate results", SP, M, InProgress
BR.7, "Work to improve existing performance models through Continous Learning", "", "", ""
BR.7.1, "Continous Learning for Year Built", SP, M, ""
BR.7.2, "Continous Learning for Roof Material", SP, M, ""
BR.8, "Work to gather data for Module Validation/Verification/Training", SP, M, InProgress
